auc_score, pr_auc, AC, f1, SN, PR, SP, CCR, MCC
0.8423, 0.8671, 0.8115, 0.8244, 0.7714, 0.8852, 0.8654, 0.8184, 0.6298
0.9036, 0.9211, 0.8312, 0.8413, 0.7852, 0.906, 0.8922, 0.8387, 0.6708
