auc_score, pr_auc, AC, f1, SN, PR, SP, CCR, MCC
0.8874, 0.8414, 0.8263, 0.7844, 0.7897, 0.7792, 0.8507, 0.8202, 0.6391
0.825, 0.5976, 0.791, 0.6606, 0.75, 0.5902, 0.8062, 0.7781, 0.5203
0.8395, 0.6314, 0.8021, 0.6809, 0.7692, 0.6107, 0.8145, 0.7919, 0.5477
