auc_score, pr_auc, AC, f1, SN, PR, SP, CCR, MCC
0.8135, 0.841, 0.7778, 0.766, 0.699, 0.8471, 0.8632, 0.7811, 0.5674
0.862, 0.877, 0.791, 0.7933, 0.7396, 0.8554, 0.8519, 0.7957, 0.5904
