auc_score, pr_auc, AC, f1, SN, PR, SP, CCR, MCC
0.7797, 0.7033, 0.7252, 0.6409, 0.613, 0.6716, 0.8, 0.7065, 0.4202
0.744, 0.4799, 0.6949, 0.55, 0.6875, 0.4583, 0.6977, 0.6926, 0.3486
0.7698, 0.5403, 0.6913, 0.5585, 0.7115, 0.4596, 0.6836, 0.6976, 0.3567
