auc_score, pr_auc, AC, f1, SN, PR, SP, CCR, MCC
0.785, 0.7115, 0.7475, 0.6773, 0.6622, 0.6932, 0.8045, 0.7333, 0.4705
0.6684, 0.4321, 0.661, 0.5, 0.625, 0.4167, 0.6744, 0.6497, 0.271
0.7099, 0.4714, 0.6755, 0.5323, 0.6731, 0.4403, 0.6764, 0.6747, 0.316
