auc_score, pr_auc, AC, f1, SN, PR, SP, CCR, MCC
0.8463, 0.7876, 0.7681, 0.6964, 0.6644, 0.7315, 0.8373, 0.7509, 0.5111
0.7602, 0.4687, 0.7514, 0.5319, 0.5208, 0.5435, 0.8372, 0.679, 0.3629
0.8033, 0.5681, 0.7704, 0.5953, 0.6154, 0.5766, 0.8291, 0.7222, 0.4358
