auc_score, pr_auc, AC, f1, SN, PR, SP, CCR, MCC
0.8903, 0.8549, 0.8263, 0.778, 0.7606, 0.7963, 0.8701, 0.8154, 0.636
0.8219, 0.6174, 0.774, 0.5833, 0.5833, 0.5833, 0.845, 0.7141, 0.4283
0.8465, 0.7172, 0.8021, 0.6445, 0.6538, 0.6355, 0.8582, 0.756, 0.5076
