auc_score, pr_auc, AC, f1, SN, PR, SP, CCR, MCC
0.8966, 0.8689, 0.8299, 0.7759, 0.736, 0.8204, 0.8925, 0.8143, 0.642
0.7981, 0.617, 0.7514, 0.4762, 0.4167, 0.5556, 0.876, 0.6463, 0.3232
0.8329, 0.6832, 0.7757, 0.5251, 0.4519, 0.6267, 0.8982, 0.6751, 0.3921
