auc_score, pr_auc, AC, f1, SN, PR, SP, CCR, MCC
0.8765, 0.8391, 0.7977, 0.7372, 0.7092, 0.7676, 0.8567, 0.7829, 0.5743
0.7426, 0.5722, 0.7684, 0.4938, 0.4167, 0.6061, 0.8992, 0.6579, 0.3606
0.8078, 0.6631, 0.7916, 0.573, 0.5096, 0.6543, 0.8982, 0.7039, 0.4439
